name,min,max,cardinality,num_unique_values
call_center.cc_county,5.0,5.0,42,16
call_center.cc_call_center_sk,49,13362,42,42
income_band.ib_upper_bound,50507.0,118749.0,20,20
income_band.ib_lower_bound,507.0,68749.0,20,20
income_band.ib_income_band_sk,49,12848,20,20
store.s_state,1.0,8.0,1002,21
store.s_market_id,5.0,10.0,1002,10
store.s_store_name,1.0,1.0,1002,10
store.s_number_employees,200.0,295.0,1002,101
store.s_city,2.0,5.0,1002,54
store.s_gmt_offset,-8.0,-5.0,1002,4
store.s_county,4.0,8.0,1002,27
store.s_zip,1,350,1002,349
store.s_store_sk,49,825241650,1002,990
reason.r_reason_desc,1.0,1.0,65,64
reason.r_reason_sk,49,13877,65,65
inventory.inv_quantity_on_hand,1.0,500.0,783000000,989
inventory.inv_warehouse_sk,49,12848,783000000,20
inventory.inv_item_sk,49,56282059911216,783000000,296387
inventory.inv_date_sk,14131151882432823,14131151915922994,783000000,260
customer_demographics.cd_education_status,1.0,7,1920800,7
customer_demographics.cd_marital_status,1.0,5,1920800,5
customer_demographics.cd_gender,1.0,2,1920800,2
customer_demographics.cd_demo_sk,49,13855161578958896,1920800,1939819
customer.c_current_cdemo_sk,49,13855161578958896,12000000,1939819
customer.c_birth_month,1.0,12.0,12000000,12
customer.c_preferred_cust_flag,1.0,1.0,12000000,2
customer.c_customer_sk,49,3544948840219029552,12000000,11937583
customer.c_first_shipto_date_sk,49,14131151882432823,12000000,1827
customer.c_birth_country,1,211,12000000,211
customer.c_first_sales_date_sk,49,14131151882432823,12000000,1827
customer.c_current_hdemo_sk,49,926036016,12000000,7268
customer.c_current_addr_sk,49,15252632267403312,12000000,5962643
web_page.wp_char_count,5000.0,5200.0,3000,1885
web_page.wp_web_page_sk,49,858796080,3000,2997
time_dim.t_hour,1.0,24.0,86400,24
time_dim.t_minute,1,60.0,86400,60
time_dim.t_time,1.0,86138.0,86400,86137
time_dim.t_time_sk,49,241427495225,86400,86137
household_demographics.hd_dep_count,-1.0,9.0,7200,10
household_demographics.hd_vehicle_count,-1.0,6.0,7200,6
household_demographics.hd_buy_potential,1.0,2.0,7200,6
household_demographics.hd_demo_sk,49,926036016,7200,7268
household_demographics.hd_income_band_sk,49,12848,7200,20
web_site.web_company_name,1.0,6.0,54,6
web_site.web_site_sk,49,13620,54,54
promotion.p_channel_tv,1.0,1.0,1500,1
promotion.p_channel_email,1.0,1.0,1500,1
promotion.p_channel_event,1.0,1.0,1500,1
promotion.p_channel_dmail,1.0,2.0,1500,2
promotion.p_promo_sk,49,825569328,1500,1481
ship_mode.sm_carrier,1.0,20.0,20,20
ship_mode.sm_ship_mode_sk,49,12848,20,20
warehouse.w_warehouse_sk,49,12848,20,20
catalog_page.cp_catalog_page_sk,49,219851796528,30000,30034
